ID;TIME;NAME;TEXT;ROLE;HATE;TARGET;VERBAL_ABUSE;INTENTION;CONTEXT;DISAGREEMENT;TYPE_D
18;[2:47:53 PM]; <Soan-Soutien-Victime>; piste ta tete endirerb un monstre poto;victim_support;OAG;bully_support;OTH;DFN;ATK;HATE;SUBJECTIVITY
19;[2:48:02 PM]; <Théo-Soutien-Harceleur>; c'est toi la moche sale serbe de mes couilles;bully_support;OAG;victim;DNG;ATK;DFN;;
20;[2:48:21 PM]; <Soan-Soutien-Victime>; moi silvia on est les plus belle bande de fdp;victim_support;OAG;bully/bully_support;NCG;DFN;ATK;VERBAL_ABUSE;AMBIGUITY
21;[2:48:26 PM]; <Théo-Soutien-Harceleur>; va retourner voler des montres;bully_support;CAG;victim;OTH;ATK;NULL;VERBAL_ABUSE;SLOPPY
22;[2:48:34 PM]; <Adrien-Harceleur>; en plus tes la tu vien de serbi;bully;NAG;NULL;NULL;ATK;NULL;;
23;[2:48:40 PM]; <Soan-Soutien-Victime>; et  elle ten merde niker vos grand mere;victim_support;OAG;bully/bully_support;OTH;DFN;ATK;;
24;[2:49:06 PM]; <Théo-Soutien-Harceleur>; va te faire enculer sale rousse;bully_support;OAG;victim_support;OTH;ATK;DFN;CONTEXT;AMBIGUITY
25;[2:49:08 PM]; <Silvia-Victime>; la serbie c'esst le sang,  vous etes jaloux c'est tout;victim;NAG;NULL;NULL;DFN;ATK;;
26;[2:49:14 PM]; <Théo-Soutien-Harceleur>; va sucer tes profs;bully_support;OAG;victim;OTH;ATK;NULL;;
27;[2:49:17 PM]; <Soan-Soutien-Victime>; grave;victim_support;NAG;NULL;NULL;EMP;DFN;;
28;[2:49:26 PM]; <Silvia-Victime>; retournez sucer lucas et sophie;victim;OAG;bully/bully_support;OTH;DFN;ATK;;
29;[2:49:27 PM]; <Soan-Soutien-Victime>; va deterrer tes mort ;victim_support;OAG;bully_support;OTH;DFN;ATK;HATE;SUBJECTIVITY
30;[2:49:48 PM]; <Théo-Soutien-Harceleur>; niquez vos mères en Serbie;bully_support;OAG;victim;OTH;ATK;NULL;;
31;[2:49:50 PM]; <Camille-Soutien-Harceleur>; le con de tes mortttttttt soan t une pute tfacon t la plus gross victime;bully_support;OAG;victim_support;OTH;ATK;DFN;VERBAL_ABUSE;SLOPPY
32;[2:49:54 PM]; <Soan-Soutien-Victime>; bande de sombre pute lucas arrete de faire le beau avec ta petite bite;victim_support;OAG;bully/bully_support;DNG;DFN;ATK;;
33;[2:50:12 PM]; <Hébert-Conciliateur>; adrien et silvia arreter srx;conciliator;NAG;NULL;NULL;CR;NULL;;
34;[2:50:13 PM]; <Adrien-Harceleur>; retourne en serbie et il y aura plus de probleme fdp;bully;OAG;victim;OTH;ATK;NULL;;
35;[2:50:30 PM]; <Soan-Soutien-Victime>; la victime elle vous baise;victim_support;OAG;bully/bully_support;OTH;DFN;ATK;;
36;[2:50:42 PM]; <Théo-Soutien-Harceleur>; qu'est ce ta helbert?;bully_support;NAG;NULL;NULL;OTH;CR;CONTEXT;SLOPPY
37;[2:50:52 PM]; <Hébert-Conciliateur>; sa sert a r de se prendre la tete comme des enfants;conciliator;NAG;NULL;NULL;CR;NULL;;
38;[2:50:59 PM]; <Camille-Soutien-Harceleur>; on arrete rien du tout pk elle assume pas cette salopeee ;bully_support;OAG;victim;NCG;ATK;CR                                                                                                 ;;
39;[2:51:02 PM]; <Soan-Soutien-Victime>; vos tete de sperm;victim_support;OAG;bully/bully_support;NCG;DFN;ATK;;
40;[2:51:14 PM]; <Adrien-Harceleur>; assume ;bully;NAG;NULL;NULL;ATK;NULL;;
41;[2:51:23 PM]; <Soan-Soutien-Victime>; vous puez de la shnek bande de crasseuse;victim_support;OAG;bully/bully_support;DNG;DFN;ATK;"INTENTION
CONTEXT";"SLOPPY
SLOPPY"
42;[2:51:29 PM]; <Silvia-Victime>; ouai c'est eux qui m'insultent genre normal alors que leur pote il me drague tranquile;victim;NAG;NULL;NULL;CNS;ATK;INTENTION;AMBIGUITY
