ID;TIME;NAME;TEXT;ROLE;HATE;TARGET;VERBAL_ABUSE;INTENTION;CONTEXT;DISAGREEMENT;TYPE_D
14;[2019-06-13 16:44:11]; <Fran_Victime>; c'est cette put de Martine qui a pris des fotos de moi;victim;OAG;bully;NCG;DFN;NULL;;
15;[2019-06-13 16:44:14]; <Fran_Victime>; pdt le voyage;victim;NAG;NULL;NULL;OTH;NULL;;
16;[2019-06-13 16:44:18]; <Fran_Victime>; sous la douche;victim;NAG;NULL;NULL;OTH;NULL;;
17;[2019-06-13 16:44:23]; <Fran_Victime>; et cette conne elle l'a fait tourner;victim;OAG;bully;NCG;DFN;NULL;;
18;[2019-06-13 16:44:30]; <Fatima_Defenseur>; pk tu fais ca meuf;victim_support;NAG;NULL;NULL;OTH;NULL;CONTEXT;AMBIGUITY
19;[2019-06-13 16:44:40]; <Fatima_Defenseur>; dou elle etait dans ta douche;victim_support;NAG;NULL;NULL;OTH;NULL;;
20;[2019-06-13 16:44:43]; <martine_harc>; hey quand y a une pute faut faire profiter!;bully;OAG;victim;DNG;ATK;OTH;CONTEXT;AMBIGUITY
21;[2019-06-13 16:44:52]; <martine_harc>; soit contente la grosse;bully;OAG;victim;DNG;ATK;NULL;"HATE
VERBAL_ABUSE";"SLOPPY
AMBIGUITY"
22;[2019-06-13 16:45:06]; <Fran_Victime>; je sais pas elle aime mon cul;victim;NAG;NULL;NULL;OTH;OTH;HATE;SUBJECTIVITY
23;[2019-06-13 16:45:19]; <jules_soutienH>; sale grosse;bully_support;OAG;victim;DNG;ATK;NULL;VERBAL_ABUSE;AMBIGUITY
24;[2019-06-13 16:45:35]; <martine_harc>; hey! slt Juju!;bully;NAG;NULL;NULL;OTH;NULL;;
25;[2019-06-13 16:45:39]; <jenny_conciliatr>; martine et francoise si vous avez des problemes parlez en au lieu de vous insulter;conciliator;NAG;NULL;NULL;CR;NULL;;
26;[2019-06-13 16:45:40]; <Fran_Victime>; mais d'où tu parles le micropenis stp;victim;OAG;bully_support;DNG;DFN;ATK;HATE;SUBJECTIVITY
27;[2019-06-13 16:45:56]; <martine_harc>; et pour aimer ton cul faurdrait etre aveugle la grosse;bully;OAG;victim;DNG;ATK;OTH;"HATE
CONTEXT";"SLOPPY
AMBIGUITY"
28;[2019-06-13 16:46:01]; <Fatima_Defenseur>; on se calmmmmmm;victim_support;NAG;NULL;NULL;CR;NULL;;
29;[2019-06-13 16:46:12]; <Fran_Victime>; pq tu me mattes sous la douche alors?;victim;NAG;NULL;NULL;OTH;ATK;;
30;[2019-06-13 16:46:13]; <martine_harc>; hey la sirienne;bully;CAG;victim_support;OTH;ATK;CR;"HATE
CONTEXT";"SUBJECTIVITY
AMBIGUITY"
31;[2019-06-13 16:46:19]; <martine_harc>; ferme la;bully;OAG;victim_support;OTH;ATK;CR;HATE;SLOPPY
32;[2019-06-13 16:46:20]; <Fran_Victime>; ho tu te calmes ;victim;NAG;NULL;NULL;CR;ATK;INTENTION;AMBIGUITY
33;[2019-06-13 16:46:23]; <Fran_Victime>; la pute;victim;OAG;bully;NCG;DFN;ATK;;
34;[2019-06-13 16:46:39]; <Fran_Victime>; Tu touches pas à ma pote ou je te mange ok?!;victim;CAG;bully;THR;DFN;ATK;;
35;[2019-06-13 16:46:43]; <jenny_conciliatr>; parlez en pardon;conciliator;NAG;NULL;NULL;CR;NULL;INTENTION;AMBIGUITY
36;[2019-06-13 16:46:46]; <martine_harc>; c oi la pute et tu m parle pas comme ca ;bully;OAG;victim;NCG;ATK;DFN;;
37;[2019-06-13 16:46:47]; <jules_soutienH>; ferme ta gueule demande a ta mere il est pas si petit;bully_support;OAG;victim;OTH;ATK;DFN;;
38;[2019-06-13 16:46:48]; <Fatima_Defenseur>; t raciste ou ca se passe comment en fait martine;victim_support;NAG;NULL;NULL;DFN;ATK;;
39;[2019-06-13 16:46:51]; <jenny_conciliatr>; on ne resoud rien comme ca;conciliator;NAG;NULL;NULL;CR;NULL;INTENTION;SLOPPY
40;[2019-06-13 16:47:19]; <Fran_Victime>; ma mère elle suce pas les bébés;victim;CAG;bully_support;OTH;DFN;ATK;HATE;SUBJECTIVITY
41;[2019-06-13 16:47:29]; <martine_harc>; bah quoi? l'étrangère a un pb?;bully;CAG;victim_support;OTH;ATK;DFN;CONTEXT;SLOPPY
42;[2019-06-13 16:47:31]; <jules_soutienH>; ducoup elle me suce;bully_support;CAG;victim;OTH;ATK;DFN;HATE;SLOPPY
43;[2019-06-13 16:47:37]; <jules_soutienH>; cette folle;bully_support;OAG;victim;DNG;ATK;DFN;"HATE
VERBAL_ABUSE";"SUBJECTIVITY
AMBIGUITY"
44;[2019-06-13 16:47:45]; <martine_harc>; T'a raison ils voudraizetn pas d'elle;bully;CAG;victim;DNG;AIN;ATK;;
45;[2019-06-13 16:47:47]; <Fran_Victime>; parle pas sur ma mère;victim;NAG;NULL;NULL;DFN;ATK;;
46;[2019-06-13 16:47:50]; <jules_soutienH>; GROSSE folle;bully_support;OAG;victim;DNG;ATK;NULL;"HATE
VERBAL_ABUSE";"SUBJECTIVITY
AMBIGUITY"
47;[2019-06-13 16:47:54]; <Fran_Victime>; toi aussi je te mange;victim;CAG;bully_support;THR;DFN;ATK;;
48;[2019-06-13 16:48:01]; <jules_soutienH>; hahahahahahahahahahahahaha;bully_support;NAG;NULL;NULL;OTH;DFN;CONTEXT;AMBIGUITY
49;[2019-06-13 16:48:06]; <jules_soutienH>; t une comique toi;bully_support;CAG;victim;OTH;ATK;DFN;INTENTION;SLOPPY
50;[2019-06-13 16:48:06]; <martine_harc>; bah la mere d'une grosse moche doit etre grosse moche;bully;OAG;victim;DNG;ATK;DFN;;
51;[2019-06-13 16:48:08]; <Fatima_Defenseur>; stop bande de fous ;victim_support;OAG;bully/bully_support;DNG;DFN;NULL;"HATE
VERBAL_ABUSE";"SUBJECTIVITY
AMBIGUITY"
52;[2019-06-13 16:48:23]; <Fran_Victime>; en attendant il a l'air de kiffer ma mère Jules...;victim;NAG;NULL;NULL;DFN;ATK;;
53;[2019-06-13 16:48:24]; <Fatima_Defenseur>; kes tu dis;victim_support;NAG;NULL;NULL;OTH;ATK;;
54;[2019-06-13 16:48:27]; <jules_soutienH>; jmange ta mere surtout;bully_support;CAG;victim;OTH;ATK;DFN;VERBAL_ABUSE;AMBIGUITY
55;[2019-06-13 16:48:42]; <jules_soutienH>; cest elle qui me kiffe;bully_support;NAG;NULL;NULL;OTH;DFN;;
56;[2019-06-13 16:48:43]; <martine_harc>; hey toi tut'la ferme l'étrazngère! retourne dans ton pays de merde;bully;OAG;victim_support;OTH;ATK;OTH;VERBAL_ABUSE;AMBIGUITY
57;[2019-06-13 16:48:46]; <Fatima_Defenseur>; on arrete de manger tt le mponde la;victim_support;NAG;NULL;NULL;CR;NULL;;
58;[2019-06-13 16:48:57]; <Fran_Victime>; Martine tu fermes ta bouche;victim;OAG;bully;OTH;DFN;ATK;HATE;SUBJECTIVITY
59;[2019-06-13 16:49:06]; <martine_harc>; bah c sa mere qui se met a 4 pattes devant luji;bully;CAG;victim;OTH;ATK;DFN;;
60;[2019-06-13 16:49:18]; <Fatima_Defenseur>; va crevrr;victim_support;OAG;bully_support;OTH;DFN;ATK;;
61;[2019-06-13 16:49:20]; <Fran_Victime>; donc il kif les grosses moches;victim;OAG;bully_support;DNG;DFN;ATK;;
62;[2019-06-13 16:49:24]; <Fran_Victime>; sympa pour ton pote;victim;NAG;NULL;NULL;DFN;ATK;;
63;[2019-06-13 16:49:31]; <jules_soutienH>; oue ca doit etre ca;bully_support;NAG;NULL;NULL;OTH;DFN;;
64;[2019-06-13 16:49:41]; <jules_soutienH>; jore ton pere le chauve;bully_support;CAG;victim;OTH;ATK;DFN;INTENTION;AMBIGUITY
65;[2019-06-13 16:49:43]; <Fran_Victime>; tu voulais voir mon cul du coup Jules ;victim;NAG;NULL;NULL;OTH;NULL;CONTEXT;AMBIGUITY
66;[2019-06-13 16:49:48]; <martine_harc>; d'ou tu me parle? faudrait deja que tu perde 100 kg avant de me donner des ordres la grosse;bully;OAG;victim;DNG;ATK;DFN;HATE;SUBJECTIVITY
67;[2019-06-13 16:50:05]; <Fran_Victime>; Je te casse la bouche tu parleras plus jamais;victim;OAG;bully;THR;DFN;ATK;;
68;[2019-06-13 16:50:11]; <martine_harc>; Juju est triop bien pour ton cul de vache!;bully;OAG;victim;DNG;ATK;DFN;;
69;[2019-06-13 16:50:19]; <Fatima_Defenseur>; tinsulte pas mon pays connasse;victim_support;OAG;bully;NCG;DFN;ATK;;
70;[2019-06-13 16:50:21]; <martine_harc>; ouais c ca la pute;bully;OAG;victim_support;NCG;ATK;DFN;;
71;[2019-06-13 16:50:21]; <jenny_conciliatr>; MARTINE;conciliator;NAG;NULL;NULL;OTH;NULL;;
72;[2019-06-13 16:50:28]; <martine_harc>; les pute;bully;OAG;victim/victim_support;NCG;ATK;DFN;CONTEXT;AMBIGUITY
73;[2019-06-13 16:50:29]; <Fran_Victime>; MARTINE;victim;NAG;NULL;NULL;OTH;NULL;;
74;[2019-06-13 16:50:32]; <jenny_conciliatr>; Je v vs boter le cul;conciliator;OAG;bully/bully_support/victim/victim_support;THR;DFN;NULL;CONTEXT;AMBIGUITY
75;[2019-06-13 16:50:44]; <martine_harc>; et on s'en fout de toi Jenny! retourne dormir;bully;CAG;conciliator;OTH;ATK;DFN;CONTEXT;SLOPPY
76;[2019-06-13 16:50:44]; <Fatima_Defenseur>; putain je pars la;victim_support;NAG;NULL;NULL;OTH;NULL;;
77;[2019-06-13 16:50:51]; <jenny_conciliatr>; vous allez vous calmer oui;conciliator;NAG;NULL;NULL;CR;NULL;;
78;[2019-06-13 16:50:53]; <Fatima_Defenseur>; jen ai mar de vous;victim_support;CAG;bully/bully_support;OTH;DFN;NULL;CONTEXT;AMBIGUITY
79;[2019-06-13 16:51:01]; <martine_harc>; ouais c ca fuyiez les putes;bully;OAG;victim/victim_support;NCG;ATK;OTH;;
80;[2019-06-13 16:51:01]; <Fran_Victime>; Martine tu me fais gerber;victim;OAG;bully;DNG;DFN;ATK;HATE;SUBJECTIVITY
81;[2019-06-13 16:51:07]; <Fatima_Defenseur>; martinz la connasse;victim_support;OAG;bully;NCG;DFN;ATK;;
82;[2019-06-13 16:51:22]; <Fatima_Defenseur>; jte parle mm pas;victim_support;NAG;NULL;NULL;DFN;ATK;;
83;[2019-06-13 16:51:23]; <jenny_conciliatr>; vs vs comportez vrmt trtop mals;conciliator;NAG;NULL;NULL;OTH;NULL;INTENTION;SLOPPY
84;[2019-06-13 16:51:24]; <Fran_Victime>; tu as bien aimé mes photos?;victim;NAG;NULL;NULL;OTH;NULL;;
85;[2019-06-13 16:51:29]; <martine_harc>; c ca allez ciao les gosses putes;bully;OAG;victim/victim_support;NCG;ATK;NULL;;
86;[2019-06-13 16:51:39]; <martine_harc>; dsl mais trop moches;bully;CAG;victim;DNG;ATK;OTH;CONTEXT;SLOPPY
87;[2019-06-13 16:51:40]; <Fran_Victime>; fallait pâs poster des fotos de moi si tu voulais que je me calme;victim;NAG;NULL;NULL;CNS;ATK;;
88;[2019-06-13 16:51:48]; <martine_harc>; g eu mal aux yeux;bully;CAG;victim;DNG;ATK;NULL;;
